Depth in the Phantom [mm];MS;BT;LW;SN;FD;LP;IM;PFD
1;1.110542;1.062181;0.2892639;0.7668725;0.7475997;1.358007;0.6965848;0.5930482
5;0.9578187;0.9344011;0.2902834;0.7105331;0.6731989;1.138022;0.6255771;0.5265149
9;0.8283723;0.8291575;0.2748998;0.6446396;0.6028997;0.9625518;0.5559882;0.4641604
13;0.721506;0.7389865;0.2579814;0.5868613;0.5410745;0.8139842;0.4959767;0.4108248
17;0.6323179;0.660382;0.2409865;0.5342217;0.486215;0.690345;0.4435591;0.3648049
21;0.5572774;0.5920895;0.2254362;0.4872223;0.4384577;0.5871729;0.3983815;0.3252383
25;0.4939071;0.5317898;0.2105351;0.4438184;0.3960148;0.5015139;0.3593352;0.2911463
29;0.4386015;0.4782082;0.1963692;0.403789;0.3581182;0.4303282;0.3239323;0.2606325
33;0.391199;0.4312826;0.183636;0.3680747;0.3250454;0.3707995;0.2930255;0.2341288
37;0.3505577;0.3889094;0.1712705;0.3348866;0.2949544;0.3209803;0.2660945;0.2111734
41;0.3141882;0.351371;0.159947;0.3051201;0.2683248;0.2786662;0.2413297;0.1903678
45;0.282667;0.3182456;0.1496325;0.2786293;0.2448638;0.2428145;0.2196412;0.1722718
49;0.2553085;0.2878909;0.1393967;0.2538653;0.2230776;0.2124011;0.2006543;0.156543
53;0.2302483;0.2610061;0.1299626;0.2317978;0.2037548;0.1860186;0.1829193;0.142042
57;0.2081703;0.2366709;0.1208481;0.2115677;0.1860842;0.1634259;0.1671758;0.1292519
61;0.1886366;0.2142295;0.1117996;0.1926114;0.1695372;0.1440863;0.1531153;0.1179001
65;0.170288;0.1939971;0.1032405;0.1753936;0.1545251;0.1270804;0.1396012;0.1071009
69;0.1538317;0.1750389;0.09470962;0.1590217;0.1402428;0.112436;0.1272833;0.09731274
73;0.1390745;0.1575235;0.08655266;0.143794;0.1269639;0.09983096;0.1160061;0.08840334
