Depth in the Phantom [mm];MS;BT;LW;SN;FD;LP;IM;PFD
1;0.6493648;0.2519089;0.9130571;0.6018073;0.6607528;0.7736603;0.7901026;1.12977
5;0.570188;0.2255728;0.8817123;0.5553647;0.595395;0.6712722;0.6968017;0.9599079
9;0.4993265;0.2029077;0.8213737;0.50774;0.5331823;0.5874031;0.6108128;0.8247288
13;0.4396907;0.1801869;0.7604394;0.4636318;0.478634;0.5128024;0.5389983;0.7177461
17;0.3888261;0.1597867;0.7011404;0.4225066;0.4303269;0.4466686;0.4783071;0.6307061
21;0.3455921;0.1419261;0.6470053;0.3859802;0.3884302;0.388872;0.4268905;0.5585598
25;0.3087573;0.1262052;0.5961493;0.3527394;0.3512741;0.3387028;0.383086;0.4982275
29;0.2761096;0.1123315;0.5486865;0.3224995;0.3181576;0.2949831;0.3440281;0.4454905
33;0.24796;0.100225;0.5062171;0.2958974;0.2893552;0.2571374;0.3102477;0.4004372
37;0.2237049;0.08944097;0.46615;0.2712186;0.2631513;0.2244652;0.2810491;0.3619224
41;0.2017508;0.07996357;0.4299959;0.2491672;0.2400057;0.1959475;0.2544495;0.3272193
45;0.1826547;0.07166716;0.397609;0.2295603;0.2196474;0.1712828;0.2312694;0.2972074
49;0.1660218;0.06419475;0.366645;0.2109776;0.2006864;0.1499951;0.211055;0.2711987
53;0.150623;0.0576365;0.3386979;0.1943197;0.1838628;0.1313297;0.1922565;0.2471074
57;0.1369947;0.05178421;0.3124634;0.178831;0.1684228;0.115189;0.1755951;0.2258009
61;0.1248694;0.04647765;0.2871401;0.1640535;0.1538827;0.101267;0.1607271;0.2067961
65;0.1133369;0.04175219;0.263561;0.1504648;0.1406349;0.0890159;0.1464648;0.1885334
69;0.102917;0.03740272;0.240428;0.1373132;0.1279425;0.07843118;0.1334695;0.1718659
73;0.09349665;0.03344041;0.2183834;0.1249352;0.1160778;0.06930327;0.1215782;0.1565889
77;0.08448499;0.02988338;0.1980386;0.1136331;0.1052927;0.06121961;0.1100152;0.1417148
81;0.0764053;0.02657091;0.1784715;0.1028113;0.095009;0.05420135;0.09946565;0.128145
85;0.06927792;0.02364868;0.1613274;0.09332613;0.08600369;0.04809307;0.08997723;0.1159548
89;0.06273921;0.02110092;0.1467436;0.08516622;0.07825639;0.04258286;0.08113044;0.1046132
93;0.05722642;0.01890172;0.1346488;0.0782156;0.07165448;0.03770968;0.07356396;0.09494221
97;0.05273366;0.01714133;0.1257576;0.07285707;0.06655732;0.03337731;0.06736299;0.087042
101;0.04887794;0.01575466;0.1192764;0.06867246;0.06258164;0.02938334;0.0621409;0.08039381
105;0.04583047;0.01470527;0.114627;0.06542892;0.05951548;0.0258055;0.0581836;0.07534629
109;0.04338596;0.0139436;0.1112064;0.06289881;0.05714913;0.02262358;0.05525371;0.07157776
113;0.04103682;0.01328715;0.1073903;0.06027926;0.05473407;0.01974817;0.05267622;0.0682087
117;0.03880185;0.01267915;0.1028873;0.05746804;0.05217165;0.01729215;0.05039965;0.06518343
121;0.0364723;0.01201457;0.097029;0.05412494;0.04914214;0.01528628;0.04807081;0.06206064
125;0.03367233;0.01117028;0.08901382;0.0498168;0.04524031;0.013685;0.04510979;0.05810858
129;0.03053209;0.01015456;0.07920839;0.04472236;0.04063062;0.01254033;0.04160912;0.05346775
133;0.02702;0.008915838;0.06740225;0.03870501;0.03518634;0.0117917;0.03745867;0.04801296
137;0.02301716;0.007456277;0.05384111;0.03186906;0.02900619;0.01127131;0.03241988;0.04145449
141;0.01880393;0.005826706;0.03917707;0.02454995;0.0224078;0.01089531;0.02679228;0.03419622
145;0.01459297;0.004059596;0.02402729;0.01703789;0.01567601;0.01053424;0.02072014;0.02645152
149;0.01074945;0.002423618;0.0126391;0.01114077;0.01047292;0.01002875;0.01439074;0.01852301
153;0.008461775;0.001588631;0.0103087;0.009088073;0.008692091;0.009348911;0.009325285;0.01242201
157;0.00782816;0.001430622;0.01003549;0.008544795;0.008203298;0.008529538;0.007470904;0.01028469
161;0.007458529;0.001383996;0.009724557;0.008133072;0.007823758;0.007754907;0.007020126;0.009693246
165;0.007106017;0.001352465;0.00940692;0.007736732;0.007457132;0.007082209;0.006694471;0.009232759
169;0.006764226;0.001335928;0.009090146;0.007390921;0.007133839;0.006455048;0.006382922;0.00879073
173;0.006460556;0.001319869;0.008776673;0.007064712;0.006827284;0.005931651;0.006104385;0.008392965
177;0.006178055;0.001305418;0.008474576;0.006741654;0.006523891;0.005459327;0.005839053;0.008015556
181;0.005901436;0.001291413;0.00821163;0.006476133;0.006270207;0.005005196;0.005595243;0.007670267
185;0.005661395;0.00127794;0.007963457;0.006228177;0.006030939;0.004643104;0.005371572;0.007354915
189;0.005452403;0.001264593;0.007722117;0.005981753;0.005793286;0.004324751;0.005159743;0.00705737
193;0.005246566;0.001251314;0.007488272;0.005737053;0.005557459;0.004015962;0.004959412;0.006777012
197;0.00504427;0.001237785;0.007283079;0.005525765;0.005368092;0.003719121;0.004782921;0.006531259
201;0.004845958;0.001224172;0.007101085;0.005343366;0.005183216;0.003462372;0.004607421;0.00628749
205;0.004695377;0.001210132;0.006923861;0.00516177;0.004999296;0.003260951;0.004433029;0.006045943
209;0.004548323;0.001195878;0.006751783;0.004981065;0.004816714;0.003064592;0.004288932;0.005847337
213;0.004403024;0.001181259;0.006585253;0.00480135;0.004674957;0.002874332;0.004152086;0.005659323
217;0.004259659;0.001166281;0.00644774;0.004653269;0.0045338;0.002691466;0.004015896;0.005472561
221;0.00411843;0.001151071;0.006324666;0.004519785;0.004393302;0.002536741;0.003880428;0.005287184
225;0.004008505;0.001135385;0.006205571;0.004386875;0.004253526;0.002408119;0.003745764;0.005103345
229;0.00390372;0.001119574;0.006090687;0.004254595;0.004114547;0.002282686;0.003638065;0.004956963
233;0.003799854;0.001103263;0.005980259;0.004123004;0.003994002;0.002160998;0.003539238;0.004823119
237;0.003696985;0.001086776;0.005874536;0.003992171;0.003891892;0.002043723;0.003440914;0.004690114
241;0.003595199;0.001069863;0.005794471;0.003894757;0.003790332;0.001945433;0.003343138;0.004558023
245;0.00349459;0.001052872;0.00571881;0.003799824;0.003689368;0.001859122;0.003245958;0.004426926
249;0.003401593;0.00103581;0.005646586;0.003705418;0.003589049;0.001774889;0.00314943;0.004296915
