Depth in the Phantom [mm];MS;BT;LW;SN;FD;LP;IM;PFD
1;0.6260629;0.1985997;0.6708521;0.5491927;0.5189717;0.7654744;0.5476232;0.802036
5;0.5399661;0.1747082;0.6732163;0.5088455;0.4673238;0.6414745;0.4918002;0.7120566
9;0.4669912;0.1550304;0.6375391;0.4616561;0.4185233;0.5425664;0.4370926;0.6277286
13;0.4067458;0.1381709;0.5983025;0.4202783;0.3756052;0.4588225;0.3899142;0.5555978
17;0.3564664;0.1234739;0.5588886;0.3825808;0.3375226;0.3891302;0.3487059;0.4933607
21;0.3141627;0.110705;0.5228247;0.3489223;0.3043703;0.3309747;0.3131894;0.439851
25;0.2784379;0.09943058;0.4882667;0.3178388;0.2749071;0.2826909;0.282493;0.3937451
29;0.2472596;0.08941224;0.4554134;0.2891719;0.2485999;0.2425653;0.2546608;0.3524784
33;0.2205367;0.0806384;0.4258829;0.2635952;0.2256413;0.2090104;0.2303633;0.3166348
37;0.1976253;0.07271573;0.3972054;0.2398277;0.2047526;0.1809286;0.2091914;0.28559
41;0.1771222;0.06569705;0.3709441;0.2185105;0.1862667;0.1570772;0.1897224;0.2574527
45;0.1593523;0.05950349;0.3470232;0.1995393;0.1699805;0.1368685;0.1726719;0.2329797
49;0.143929;0.05382796;0.3232845;0.1818046;0.1548569;0.1197252;0.1577453;0.2117081
53;0.1298015;0.04880121;0.3014054;0.1660011;0.1414433;0.1048541;0.1438028;0.1920971
57;0.1173551;0.04425117;0.2802672;0.1515134;0.1291766;0.0921191;0.131426;0.1747997
61;0.106343;0.04005523;0.2592823;0.1379379;0.11769;0.08121782;0.1203723;0.1594476
65;0.09599912;0.0362723;0.2394323;0.1256074;0.1072689;0.07163202;0.1097481;0.1448428
69;0.08672193;0.03272762;0.2196477;0.1138828;0.09735427;0.06337734;0.1000644;0.1316054
73;0.07840263;0.02945271;0.2007303;0.1029775;0.0881363;0.05627222;0.09119868;0.1195563
77;0.07054257;0.02647993;0.1834199;0.09308892;0.07979048;0.04994799;0.08255592;0.1079134
81;0.06354974;0.02367207;0.1669417;0.08370305;0.07186812;0.04444902;0.07465833;0.09733812
85;0.05742495;0.02117911;0.1529471;0.07546759;0.06493544;0.03964748;0.06753992;0.08786621
89;0.05185191;0.0189957;0.1415316;0.06835568;0.05896311;0.03527172;0.0608761;0.07906752
93;0.04716796;0.01710663;0.1324856;0.06226682;0.05385394;0.0313761;0.0551594;0.07156064
97;0.04334974;0.01560226;0.1262985;0.05751541;0.04987307;0.02788545;0.05046059;0.06541666
101;0.0400643;0.01442551;0.1219642;0.05378453;0.0467332;0.02462773;0.04649052;0.06023363
105;0.03743986;0.01354467;0.1187916;0.05090237;0.04428222;0.02168739;0.04348328;0.05629028
109;0.03530198;0.01291426;0.1161792;0.04869443;0.04237311;0.01905665;0.04126926;0.05334933
113;0.03323351;0.01236536;0.1125962;0.0465147;0.04045236;0.01666527;0.03933798;0.05073963
117;0.03125598;0.01184697;0.1078887;0.04426938;0.03845324;0.01462664;0.03765776;0.04842797
121;0.0292065;0.01126313;0.1015129;0.04167328;0.03614041;0.01297759;0.03595972;0.04607847
125;0.02678828;0.01050076;0.09277861;0.0383673;0.03321316;0.01168364;0.03379652;0.04312795
129;0.02411793;0.00956962;0.08212075;0.0344845;0.02979678;0.01079415;0.03124085;0.0396889
133;0.02118143;0.008422521;0.06937993;0.02990974;0.02579983;0.01025107;0.02820787;0.03566797
137;0.01789929;0.007062729;0.05482359;0.02472413;0.02130141;0.009897178;0.02451221;0.03084558
141;0.01452098;0.005539884;0.03908064;0.01920179;0.01655131;0.009654133;0.02038899;0.02554358
145;0.01126406;0.003896432;0.02269004;0.01359151;0.01179111;0.009405109;0.01595615;0.01994673
149;0.008512783;0.002397599;0.01015295;0.009291435;0.008249212;0.009007785;0.01136932;0.01432906
153;0.0071957;0.001597935;0.008473037;0.007818175;0.007089133;0.008439677;0.007763272;0.01020083
157;0.006931926;0.001413288;0.008731615;0.007406833;0.006757387;0.007735476;0.0064451;0.008809714
161;0.006663757;0.001357736;0.00877733;0.007086859;0.006490136;0.007063617;0.006106677;0.008383794
165;0.006384204;0.001324626;0.008773632;0.006778217;0.006230735;0.006476549;0.005855424;0.00803379
169;0.006110581;0.001308667;0.008696119;0.006506367;0.005998027;0.005927145;0.005613803;0.007694819
173;0.005864712;0.00129325;0.008590762;0.006248923;0.005775736;0.005465942;0.0053953;0.007385335
177;0.005634273;0.001279643;0.008487016;0.005994205;0.005555934;0.00504822;0.005186146;0.007090102
181;0.005407996;0.001266456;0.008364319;0.005781381;0.005367729;0.004645329;0.004992219;0.006817533
185;0.005209914;0.00125377;0.008236862;0.005581426;0.005188758;0.004322199;0.004812613;0.006566291
189;0.005035932;0.001241189;0.008110643;0.005382773;0.005010989;0.00403722;0.004641406;0.006327678
193;0.004864142;0.001228666;0.007985722;0.005185571;0.004834553;0.00376024;0.004478497;0.006101416
197;0.004694784;0.001215871;0.007859188;0.005012935;0.004688186;0.00349316;0.004332973;0.005900455
201;0.004528132;0.001202991;0.007731467;0.004861495;0.004544792;0.003261062;0.004188103;0.005700779
205;0.004399206;0.001189681;0.007605206;0.004710741;0.004402092;0.00307834;0.00404396;0.005502524
209;0.004272928;0.001176161;0.00748048;0.004560746;0.004260341;0.002899938;0.00392271;0.005336647
213;0.004147856;0.001162281;0.007357367;0.004411585;0.004146514;0.002726707;0.00380693;0.005178726
217;0.004024104;0.001148059;0.007241623;0.004286317;0.004033149;0.002559695;0.003691608;0.005021655
221;0.003901797;0.001133612;0.007130311;0.00417211;0.003920285;0.002417803;0.003576788;0.004865518
225;0.003805141;0.001118717;0.007021008;0.004058417;0.00380797;0.002299587;0.00346252;0.004710406
229;0.003712655;0.001103704;0.006913806;0.00394528;0.00369625;0.002184128;0.003369558;0.00458478
233;0.003620833;0.001088228;0.006808808;0.00383275;0.003597876;0.002071889;0.003283628;0.004469053
237;0.003529732;0.001072483;0.006706116;0.003720882;0.003512878;0.00196342;0.003198095;0.004353967
241;0.003439406;0.001056088;0.006615017;0.003635229;0.003428343;0.001872193;0.003112995;0.004239574
245;0.003349919;0.001039237;0.006526854;0.003551593;0.003344304;0.001791943;0.003028363;0.004125932
249;0.00326679;0.001021967;0.00644126;0.003468445;0.003260802;0.001713513;0.002944238;0.004013107
